actual total assessed value,predicted total assessed value
119400,119443
250100,295399
118400,115158
160500,160863
90300,70357
206900,173242
361300,286189
117600,123418
76200,63884
141300,146337
258700,268383
332700,272670
121200,121229
226400,179764
152900,182762
368400,243204
191000,201706
203300,203099
162400,149887
378400,337999
136000,130707
382700,313735
359300,329472
422700,404578
410200,406615
134600,130664
116900,117351
204700,190001
223200,200661
85300,109195
108100,110756
370700,370786
366400,352418
146000,146623
166300,234024
159800,163892
260500,261890
230700,229788
161900,152121
61300,68397
265300,230301
249700,261872
63000,83404
162200,167242
231400,268092
382200,397560
89100,115475
74600,74803
405900,398936
139000,168585
164100,164832
475100,470014
139300,143352
182100,194232
116300,120987
196000,184009
370100,224952
209700,214969
253600,302598
258400,209068
73900,66818
138700,168146
242800,251761
125500,123975
291400,259744
187700,195402
189700,184238
147100,148909
185400,179727
224800,212815
355000,319301
265100,225380
216700,231784
80900,74083
146700,146219
160000,174230
220100,171948
76500,69945
149100,172787
155600,148553
