CellTowerId,DateTime,DbmSignalStrength,Direction,HandsetMake,HandsetModel,Jitter,Latency,Latitude,LocationAccuracy,Longitude,Loss,NetworkGeneration,NetworkOperatorMCCMNC,NetworkOperatorName,NetworkTechnology,SimOperatorMCCMNC,SimOperatorName
LTE:20508704:146:311:480:20480,2018-10-09 19:04:57+00:00,-106.0,Download,motorola,XT1710-02,4.459540367126465,110.75,40.7530994,600.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-09 19:04:52+00:00,-106.0,Upload,motorola,XT1710-02,7.658165454864502,124.94999694824219,40.7530994,600.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-10 10:44:31+00:00,-104.0,Upload,motorola,XT1710-02,7.009101390838623,124.6500015258789,40.7535643,500.0,-74.0037545,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-10 10:44:27+00:00,-104.0,Download,motorola,XT1710-02,5.1672043800354,116.0,40.7535643,500.0,-74.0037545,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-10 14:20:13+00:00,-103.0,Upload,motorola,XT1710-02,7.465085506439209,117.3499984741211,40.7535643,500.0,-74.0037545,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-10 14:20:22+00:00,-103.0,Download,motorola,XT1710-02,4.828042984008789,91.30000305175781,40.7535643,500.0,-74.0037545,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-11 11:13:28+00:00,-105.0,Upload,motorola,XT1710-02,7.845221519470215,102.05000305175781,40.7530624,135.60000610351562,-74.0027652,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-11 11:13:22+00:00,-105.0,Download,motorola,XT1710-02,4.0792155265808105,111.4000015258789,40.7530624,135.60000610351562,-74.0027652,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-10 18:20:19+00:00,-113.0,Upload,motorola,XT1710-02,6.5276336669921875,109.69999694824219,40.753362,98.4000015258789,-74.0027745,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-10 18:20:28+00:00,-113.0,Download,motorola,XT1710-02,4.067862033843994,109.44999694824219,40.753362,98.4000015258789,-74.0027745,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-10 18:21:01+00:00,-101.0,Upload,motorola,XT1710-02,4.455053329467773,104.05000305175781,40.753362,98.4000015258789,-74.0027745,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-10 18:21:03+00:00,-101.0,Download,motorola,XT1710-02,3.7212228775024414,103.55000305175781,40.753362,98.4000015258789,-74.0027745,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-09 10:49:15+00:00,-104.0,Upload,motorola,XT1710-02,4.352872848510742,115.05000305175781,40.7527906,300.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-09 10:49:18+00:00,-104.0,Download,motorola,XT1710-02,4.057092666625977,112.80000305175781,40.7527906,300.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-09 10:49:54+00:00,-107.0,Upload,motorola,XT1710-02,4.846648216247559,114.0999984741211,40.7527906,300.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-09 10:49:58+00:00,-107.0,Download,motorola,XT1710-02,4.057092666625977,112.80000305175781,40.7527906,300.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-11 18:34:12+00:00,-81.0,Upload,motorola,XT1710-02,7.432866096496582,107.55000305175781,40.7539201,135.60000610351562,-74.003055,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-11 18:34:23+00:00,-81.0,Download,motorola,XT1710-02,3.529872417449951,102.80000305175781,40.7539201,135.60000610351562,-74.003055,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-11 16:00:20+00:00,-104.0,Upload,motorola,XT1710-02,6.5681047439575195,101.4000015258789,40.7527906,300.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-11 16:00:22+00:00,-104.0,Download,motorola,XT1710-02,4.035777568817139,102.25,40.7527906,300.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-11 16:00:55+00:00,-104.0,Upload,motorola,XT1710-02,7.175653457641602,113.0999984741211,40.7527906,300.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-11 16:00:57+00:00,-104.0,Download,motorola,XT1710-02,4.618170738220215,104.6500015258789,40.7527906,300.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-11 18:33:45+00:00,-81.0,Upload,motorola,XT1710-02,8.660831451416016,106.69999694824219,40.7535643,500.0,-74.0037545,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-11 18:33:47+00:00,-81.0,Download,motorola,XT1710-02,3.689173460006714,102.30000305175781,40.7535643,500.0,-74.0037545,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-11 13:12:28+00:00,-93.0,Upload,motorola,XT1710-02,6.391204833984375,111.55000305175781,40.7527906,300.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-11 13:12:30+00:00,-93.0,Download,motorola,XT1710-02,3.383415460586548,109.55000305175781,40.7527906,300.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
